Contains 'G' Schmidt semi-normalized spherical harmonic coefficients for Engle (1992) magnetopause current field model of Jupiter, organized as G_mn in nanotesla (nT), so that each row represents a single n and each column a single m. See https://doi.org/10.1029/92JA02036 . These coefficients are for the "alpha = 180" model.
         G0n,         G1n,         G2n,         G3n,         G4n,         G5n,         G6n,         G7n,         G8n,         G9n,        G10n
  0.59767479, -0.11021441,           0,           0,           0,           0,           0,           0,           0,           0,           0
  0.00997168,  0.35036561, -0.05299146,           0,           0,           0,           0,           0,           0,           0,           0
  0.06819627, -0.04883471,  0.07907997, -0.01448924,           0,           0,           0,           0,           0,           0,           0
  0.03995749,  0.12396453, -0.03228333,  0.00899892, -0.00261920,           0,           0,           0,           0,           0,           0
 -0.00645752,  0.00434367,  0.05016591, -0.00598991,  0.00164931, -0.00050311,           0,           0,           0,           0,           0
  0.01485743,  0.03740562, -0.01597317,  0.00697663,  0.00264364,  0.00046213, -0.00026701,           0,           0,           0,           0
 -0.01445161,  0.01326472,  0.02545936, -0.00862842, -0.00165342,  0.00343284, -0.00076335, -0.00018054,           0,           0,           0
 -0.00271064, -0.00005790,  0.00003586,  0.00759697, -0.00239370, -0.00022875,  0.00156682, -0.00052207, -0.00021102,           0,           0
 -0.00777429,  0.00009618,  0.00014205, -0.00072460,  0.00095151, -0.00061172,  0.00012286,  0.00039735, -0.00006260, -0.00008785,           0
 -0.00003003, -0.00007612,  0.00005260,  0.00021864, -0.00011529, -0.00018286,  0.00000433, -0.00000941,  0.00008190,  0.00000014, -0.00000008
