Contains 'g' Schmidt semi-normalized spherical harmonic coefficients for JRM09 internal field model of Jupiter, organized as g_mn in gauss (G), so that each row represents a single n and each column a single m. See https://doi.org/10.1002/2018GL077312
      g0n,       g1n,       g2n,       g3n,       g4n,       g5n,       g6n,       g7n,       g8n,       g9n,      g10n
 4.102447, -0.714983,         0,         0,         0,         0,         0,         0,         0,         0,         0
 0.116704, -0.568358,  0.486895,         0,         0,         0,         0,         0,         0,         0,         0
 0.040186, -0.377911,  0.159263, -0.027105,         0,         0,         0,         0,         0,         0,         0
-0.346454, -0.082476, -0.024061, -0.110838, -0.178372,         0,         0,         0,         0,         0,         0
-0.180236,  0.046839,  0.161600, -0.164020, -0.026007, -0.036607,         0,         0,         0,         0,         0
-0.208196,  0.099929,  0.117918, -0.125747,  0.026697,  0.011132,  0.075849,         0,         0,         0,         0
 0.005984,  0.046659, -0.064957, -0.025165, -0.064485,  0.018553, -0.028929,  0.029680,         0,         0,         0
 0.100592,  0.019344, -0.067029,  0.001537, -0.041242, -0.008672, -0.037406, -0.007324, -0.024332,         0,         0
 0.096718, -0.030462,  0.002609,  0.020713,  0.033296, -0.025231,  0.017871, -0.011482,  0.012765, -0.019768,         0
-0.022995,  0.020097,  0.021278,  0.034983,  0.029676,  0.000163,  0.018065, -0.000465,  0.028978,  0.005745,  0.012989
