Contains 'h' Schmidt semi-normalized spherical harmonic coefficients for JRM33 internal field model of Jupiter in gauss (G), organized as h_mn, so that each row represents a single n and each column a single m. See https://doi.org/10.1029/2021JE007055
       h0n,       h1n,       h2n,       h3n,       h4n,       h5n,       h6n,       h7n,       h8n,       h9n,      h10n,      h11n,      h12n,      h13n,      h14n,      h15n,      h16n,      h17n,      h18n,      h19n,      h20n,      h21n,      h22n,      h23n,      h24n,      h25n,      h26n,      h27n,      h28n,      h29n,      h30n
         0,  0.209584,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.425490,  0.202215,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.328906,  0.425184, -0.273977,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0,  0.324524,  0.274386, -0.005014, -0.013251,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0,  0.453631, -0.008262,  0.060006,  0.105688,  0.100915,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0,  0.140169, -0.101191, -0.002949,  0.139483, -0.036869,  0.047831,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.076548, -0.113986,  0.021710,  0.053016, -0.066181, -0.019338, -0.058029,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.022974, -0.128335,  0.100196, -0.017256,  0.023871, -0.032371,  0.009061, -0.031783,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.078996, -0.013283,  0.065665, -0.012753,  0.036171, -0.001948,  0.019603,  0.009569,  0.018317,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.056898,  0.055703, -0.025416, -0.017952, -0.002178, -0.006283, -0.016196,  0.004546, -0.008400,  0.015814,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0,  0.005491,  0.045276, -0.042230, -0.027619, -0.004760, -0.027144, -0.013492, -0.016490, -0.014715, -0.005830, -0.004998,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0,  0.042042,  0.022280, -0.019011, -0.012712,  0.010734, -0.011119,  0.008729, -0.008379, -0.004628, -0.000220,  0.001103, -0.007127,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0,  0.041256, -0.000440, -0.004554,  0.021606,  0.002554,  0.011051,  0.012142,  0.001961, -0.002077,  0.011957,  0.004724,  0.007216,  0.000513,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.008478, -0.001249,  0.001088,  0.014562, -0.012846,  0.008965,  0.002370,  0.002258, -0.000809,  0.006969,  0.003265,  0.002259,  0.000710,  0.001244,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.011464, -0.005804,  0.005273,  0.001200, -0.004789,  0.001484,  0.000457, -0.008825, -0.002066, -0.000749,  0.000510,  0.000364, -0.000444, -0.002859,  0.001351,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.009328, -0.006081,  0.005102, -0.005874, -0.000394,  0.003581,  0.002798,  0.002445,  0.004873,  0.003667,  0.000939,  0.002828, -0.002677,  0.000398, -0.002131,  0.000324,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.002092, -0.000158,  0.000544,  0.003087,  0.007220,  0.002333, -0.000821,  0.002215,  0.004886,  0.002063,  0.001767,  0.003534,  0.002048, -0.000295,  0.000128, -0.000896, -0.001666,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0,  0.006709, -0.001761, -0.003403,  0.000370,  0.003043, -0.003488, -0.002919,  0.001656,  0.003609, -0.001190,  0.001001,  0.000269,  0.000010, -0.000602,  0.000665,  0.002778,  0.000291,  0.000153,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0,  0.000858, -0.004121, -0.005020, -0.004251, -0.002322, -0.004770, -0.004635,  0.000736, -0.002283, -0.000968, -0.002560, -0.002280,  0.001193, -0.000769, -0.003198, -0.002840,  0.001979, -0.002396,  0.003026,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.002976, -0.000137, -0.001184,  0.001056,  0.001019,  0.000453, -0.002130,  0.003725, -0.003828,  0.001542, -0.002903,  0.000171,  0.000067,  0.000132, -0.000493, -0.000322, -0.001528,  0.000622,  0.000085,  0.000350,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.001558,  0.003123,  0.002911,  0.002079,  0.001658,  0.002912,  0.001988,  0.004421, -0.001040,  0.002096, -0.000450, -0.001396,  0.002294, -0.000598, -0.000300, -0.001820,  0.001621,  0.001317, -0.003569,  0.003795, -0.003186,         0,         0,         0,         0,         0,         0,         0,         0,         0
         0, -0.000525,  0.001806,  0.001825, -0.000695, -0.000245,  0.000932,  0.001881,  0.000545, -0.000685,  0.000938, -0.000873, -0.001753,  0.002024, -0.000498, -0.001292, -0.002411, -0.000636,  0.000684,  0.001681, -0.001600,  0.000626, -0.001175,         0,         0,         0,         0,         0,         0,         0,         0
         0,  0.000528, -0.000021, -0.000519, -0.000929, -0.000079,  0.000211,  0.000164, -0.000513, -0.001358,  0.000561, -0.001726,  0.000408,  0.000213,  0.000196, -0.000631, -0.001359, -0.000031,  0.000559, -0.000635, -0.000063,  0.001881, -0.001193,  0.003132,         0,         0,         0,         0,         0,         0,         0
         0,  0.000594, -0.000454, -0.000760,  0.000139,  0.000265,  0.000630,  0.000091,  0.000296, -0.000076,  0.000383, -0.000816,  0.000633,  0.000400,  0.000503, -0.000525, -0.000882,  0.000999,  0.000593, -0.000522,  0.001064, -0.000621,  0.000346, -0.001711,  0.000435,         0,         0,         0,         0,         0,         0
         0, -0.000062, -0.000624, -0.000175,  0.000728, -0.000061, -0.000122,  0.000282, -0.000180,  0.001224, -0.000334,  0.000240,  0.000197,  0.000706,  0.000622, -0.000601, -0.000544,  0.000540, -0.000485,  0.000454,  0.000249, -0.000773,  0.000369,  0.000048,  0.000857, -0.002620,         0,         0,         0,         0,         0
         0,  0.000051, -0.000508,  0.000095,  0.000339, -0.000072, -0.000730, -0.000129, -0.000481,  0.000554, -0.000608,  0.000390,  0.000469,  0.000438,  0.000292, -0.000019,  0.000058,  0.000360, -0.001138,  0.000292, -0.000229, -0.000100, -0.000234, -0.000305,  0.000667,  0.001269, -0.000433,         0,         0,         0,         0
