Contains 'g' Schmidt semi-normalized spherical harmonic coefficients for Cassini 11 internal field model of Saturn in gauss (G), organized as g_mn, so that each row represents a single n and each column a single m. See https://doi.org/10.1126/science.aav6732
      g0n,      g1n,      g2n,      g3n,      g4n,      g5n,      g6n,      g7n,      g8n,      g9n,     g10n,     g11n,     g12n
  2.11402,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  0.15811,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  0.22601,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  0.00911,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  0.00126,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  0.00172,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
 -0.00596,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
 -0.00105,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
 -0.00129,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  0.00150,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  0.00182,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  0.00003,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
