Contains 'g' Schmidt semi-normalized spherical harmonic coefficients for Cassini 11 internal field model of Saturn in gauss (G), organized as g_mn, so that each row represents a single n and each column a single m. See https://doi.org/10.1126/science.aav6732
       g0n,       g1n,       g2n,       g3n,       g4n,       g5n,       g6n,       g7n,       g8n,       g9n,      g10n,      g11n,      g12n
  0.211402,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.015811,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.022601,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000911,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000126,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000172,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 -0.000596,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 -0.000105,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
 -0.000129,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000150,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000182,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
  0.000003,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
